0x1C38F9CF, duplicate_render
0x1E2AF8C1, amount
0xA0AD4F34, attacker
0x34D7A5CF, direction_vec
0xDD89F865, point
0x191D062E, perkmonitoron
0x1212A3C8, airfryerhud
0xE70AB977, isai
0x105ADCD5, get_round_enemy_array
0x190FD57, get_array_of_closest
0x688ED188, increment_to_player
0x331EFEDC, increment
0x4377AF2, marked_for_death
0x56BCE50A, is_magic_bullet_shield_enabled
0x172BA133, zm_utility
0x85E4C3B3, isvehicle
0xDC604012, vectorscale
0x76F13293, wait_network_frame
0xA4A23DE2, activeperks
0x829CB7A3, version
0xCDE54C4D, reloadtime
0x4F8D8F1E, electriccherryhud
0x47DDAB08, echerrybonetags
0x7D4A8AF2, isreloading
0xD92EC8C7, 0bogsarraykeys21ddd5b5-058e-428d-8347-49621d299e57
0xFB64E28D, 0bogsindexe79da20b-1c21-4a56-9554-78dcda927ede
0xFB9423CF, zombie
0xB4D58996, closest
0xEBE90536, a_zombies
0x49E1E777, tesla_enemies
0xB8379105, tesla_enemies_hit
0x5D2FA0D0, tesla_firing
0xE7BDC1A1, arraygetclosest
0x2D086DA5, arc_damage
0xEF256DCF, _lightning_params
0x6E76848F, lightning_chain
0xEA09CE07, arc_damage_ent
0x43718187, play
0xD60F4E1, gun
0x93B50D82, sound
0x37CBCF1A, playsoundatposition
0xCB7EC458, perk_give_bottle_begin
0x9FCF3CD8, waittill_any_timeout
0x938ED54C, perk_give_bottle_end
0xEE19E2B, x_offset
0x6FE07A5C, posoffset
0xED96839, floor
0xA8556DF0, phdflopperhud
0x63818737, phdconsecutiveuses
0xA0C929EB, phdsliderpower
0x2BE3E5D2, phdslidedist
0x5B77CA95, issliding
0x876B2942, phdslidelenght
0xEB9948DB, phdfxorigin
0x89B5C89, phdfxspawned
0x60DB70FA, time
0xD3ACB214, anglesforward
0x255826D2, left
0x7D6C9041, right
0xDD9EF283, facing
0xBC20D669, launchoffset
0xDAFE90E0, magicgrenade
0xECF27A98, magicgrenadetype
0x53A57667, airborne
0xF9348FDA, damage
0xF4E3423E, dif
0x34FB19F, start
0x9CFC8671, phdairborne
0xB8494651, getaiteamarray
0x15661095, zombie_team
0x57EFBE1, arraysortclosest
0xDF3E8031, slidedistance
0x3F2ACE65, jumpdone
0x3035574D, basedamage
0x42897B0B, explosion_radius
0xE59527C1, getorigin
0x9ED4888E, phdexplosionplaying
0x99D2AE09, 0bogsarraykeysa22a2ac0-2681-4924-8bb8-69e326a32146
0x3B613162, 0bogsindex1716dc01-779a-4545-88ee-dfc924717684
0xC500ED1, 0bogsarraykeys0ec193df-8163-4c37-9e0c-8fe4e918850f
0xDCF016D3, 0bogsindexa02e1e7a-05e7-467c-959d-5ceb9927c828
0x5C75045B, zombiekillable
0xD3050536, currdamage
0xAF0D5B3C, multiplier
0x15C23F41, explosion_pos
0xF679A325, vectornormalize
0x8FC0E50E, archetype
0xB8ED881E, isspecial
0x6C3E6703, weaponnone
0xD9D8E0B0, setup_zombie_knockdown
0xBD00FF2A, dir
0xC513038D, n_random_y
0x9F108924, n_random_x
0x8D6230BB, zombiepos
0x15DB2A72, attackerpos
0x6083923, getcentroid
0x8461D2B1, launchragdoll
0xD2C92EE7, cointoss
0xD73B9283, math
0xB274875A, annihilate
0x97D6AAB7, gibserverutils
0xEEB7B47A, gib_random_parts
0x97C896C2, menufunc
0x94324354, menuarg
0x830F36C3, menu_open
0x410D46A7, access
0xB8862210, playsoundtoplayer
0xE57835F5, actionslotthreebuttonpressed
0x7DB80007, actionslotfourbuttonpressed
0xD5EF124, usebuttonpressed
0x86365A77, func
0x328EB28, arg5
0x292B6591, arg4
0xE737C99E, arg3
0xD3A4407, arg2
0x9B32D4CC, arg1
0xCC610C19, menu_svalue
0x7D93C333, menu_realstrings
0x63C92759, soft
0xCC9A7B25, hudfadeouttime
0x8FDE023F, head2
0x6B67FBCF, head
0x7F779CF5, topbar
0x238FE995, scrollbar
0xBFBEC59, background
0xB861723E, shader
0x966FC3B8, luiheight
0xF2856F7B, luiwidth
0x71952EA7, luix
0x2E9393AE, option
0x53ED4FC0, optamount
0xB9D80CD1, options
0x86299564, optnum
0xDB448406, middle
0xF1858FDD, tempindex
0x63DC7E28, 0bogsarraykeyse9db6639-2c06-4907-a2bf-18d86ca84e10
0xA63623E, curspos
0x29246727, 0bogsarraykeysb552b4ca-a262-49ac-ab7d-e5d168e1aa10
0xB950E454, off
0x85E4915E, on
0xB4CF95EF, menu_bool
0x99C6C0FE, boolcolor
0xD1FE16EB, 0bogsarraykeysc2d4b7b8-dab5-4b02-a20c-09b20fddd29f
0xE2C66FBB, intslidermax
0x9906E2EB, menu_strings
0x2E2A14BB, status
0x26D9D462, menuplayername
0xFDB536C6, selected_player
0xA9F4C2C5, title
0x8CAA0808, text
0x83253AC2, font
0xCCEFF55, fontsize
0x4D19365, sort
0xEA2F4EFC, align
0x2282BC4D, relative
0x31704579, textelem
0x1FA18F5D, createfontstring
0x5773C805, hidewheninmenu
0x740F6833, archived
0x79E0F792, foreground
0x1E912B73, setpoint
0x520A934, isint
0x2DF9DA95, isfloat
0x2F6B6A4C, openluimenu
0x6AADF29C, createserverfontstring
0x8E440655, uielement
0xAD13099A, newclienthudelem
0xF83454EC, elemtype
0xFC6BD138, children
0xBFF506D, hidden
0xB0CBC08E, xoffset
0x15DDE6FF, yoffset
0x89140677, setparent
0xF9A26FC7, uiparent
0x705C9C08, alignment
0xF0E36723, rotation
0xE89651E1, boxelem
0xC49DDE5, newhudelem
0x9BEFB288, setshader
0x9B81E487, moveovertime
0xFF9C38DC, scaleovertime
0xE3EAB219, changefontscaleovertime
0xEABC681D, c1
0x10BEE286, c2
0x36C15CEF, c3
0x23C5960E, getluimenudata
0x2B74B70A, closeluimenu
0xE8C9124B, target_alpha
0xE78C0153, t
0x31465FCF, elapsed
0x79990BB, currenttime
0xA4AD846C, starttime
0xDAB3F642, start_alpha
0xD131A6E0, gettime
0x2EBD5084, lerpfloat
0x648BA192, target_color
0x7229C03, start_color
0x1FCAA6C2, start_blue
0x977A9DFB, start_green
0xB0FACFDF, start_red
0xC7118D57, lerpvector
0x46534793, set_color
0xB1ED44DB, target_width
0x414EC198, target_height
0x981B60DE, start_width
0x14DB8A5F, start_height
0xABAAD507, target_x
0x85A85A9E, target_y
0xD7FBE8EF, start_y
0xB1F96E86, start_x
0x171411E4, target_rot
0xB91C7CBC, start_rotation
0xFFFF747C, 0bogsarraykeyse1789cc1-52f4-48f4-b5d7-7a96e093f76b
0xE90F65BE, 0bogsindex30b71733-7adc-413c-80b1-23ec953ac0f7
0xD7824AFD, 0bogsarraykeys31942c5c-41c8-415e-a1e6-c12755a8cb4e
0x7DBCEACB, 0bogsarraykeys915afc29-22c8-4776-a332-29a5b35fff49
0x15D913FB, 0bogsindexebc0ff5d-9ac4-47be-897c-7db6daf05197
0x87987780, nothingtoshow
0xCEF1661, 0bogsarraykeysda1fa5a1-4dbc-466e-bdf1-8bb41818a6a1
0x47FA64D0, 0bogsindex698ce5eb-b440-4412-b299-b22d0bff16b1
0x5EFF1D88, weapon_type
0xAA422FC, 0bogsarraykeysd95f2ecf-f300-479c-ad28-a67564de7195
0x2BA5BEC3, 0bogsindex34040d9d-118b-4598-9311-63ea069f4ebb
0xDB7EE9D5, specials
0xD3E84F3B, pistols
0x98138F8E, 0bogsarraykeyscd29c07a-7235-4ad8-8e59-41bcfe21c644
0xDFD48373, 0bogsindex1ee40e4f-dd72-4636-a840-76f532a4a10b
0xB4725176, 0bogsarraykeysdaa34792-540f-4ec3-a625-6d82d66ce798
0x7D3746AB, 0bogsindex84146de8-135b-4c2c-8d30-0746398d4ee4
0x3DC14F08, selplayer
0x4DE99A8, currarray
0xC5E2710B, 0bogsarraykeys88258218-a5d9-4c3d-9c43-d81c3f8b5631
0x4B8A5E23, 0bogsindex1a3e03f5-f0c5-4aef-8396-0a089bcbb7fe
0xD453C2D3, 0bogsarraykeyse424dbf9-1b47-4e5c-b7b2-14cc38651a4a
0x45F335E8, 0bogsindexc08a3be0-11b8-4e4b-8374-b7552b59dd88
0xE78803EE, powerups
0x43877223, 0bogsarraykeysea2c8343-f90c-4cff-9ace-3cb8879b8422
0x4D8540DB, 0bogsindexcf7c6aa0-8006-46b8-9fa2-a6ede3a8dff5
0xAAC9E540, 0bogsarraykeys8a7be3cc-3e9d-44be-8d36-4ffb94d593bb
0x5767384F, 0bogsindex94e08e5c-285a-48cb-9b9c-40175449fb84
0xE317E1E4, perkname
0xEDA1B331, weaponattachtypes
0x7D2E88AF, weaponsvar
0x7155649A, vsmgr
0x38BFCE81, info
0x86C93E40, state
0x3E9897F8, should_activate_per_player
0xBC490ECA, zombie_include_powerups
0x7EFF1A2D, header_vision
0x6F1EBE57, getdvarstring
0xB8A74746, zombie_lethal_grenade_list
0xC20A940D, zombie_tactical_grenade_list
0x20B5FDE7, zombie_include_equipment
0x5B62FB69, isgrenadeweapon
0x634D0F82, getweaponclasszm
0xC5E3C1D1, 0bogsarraykeys6c0ad594-c403-4159-836a-78800726feff
0xA3F47A9C, 0bogsindex369e0d81-b7fc-45fc-b2d1-55f52ae42b3c
0xB1A434DC, submenu
0x7A47E342, playermenus
0x4978A62C, colorr
0x3798DD81, colorg
0xA9A04CBC, colorb
0x30EB7BC, brightness
0xF61B64, settypewriterfx
0xCD50E865, rgbfadecolor
0xA8886E1, blue
0x10E5C2B2, green
0xFD4D3E12, red
0xC4BD3C85, deftime
0x72A94F05, randomfloatrange
0x33724181, float
0xFE14CB8B, 0bogsarraykeyscb1ff976-b1b8-44fa-aab8-2f6b8f6ce7f3
0xD47C1903, none
0xF5C52C37, defaultlui_alpha
0xB5A4F84F, close
0xA7D5B525, randcolor
0xB9178D4, tempcolor
0xED2B08B, tempbool
0xC8466E02, lastactiveperks
0xE17DE5FB, instructionsy
0xB44DCCE, instructions
0xA1847F7A, insbgalpha
0x151AD8C6, insfgalpha
0xF35AACF7, inmenutextcalled
0x684D4100, outmenutextcalled
0x2C5F13F9, noclipmenutextcalled
0x69F434E4, ufomenutextcalled
0x4987FFE9, 0bogsarraykeysc2f917a8-c5fc-43f0-be28-c0281ef9370d
0x552CBA4F, nocliphelp
0x6C6F995E, ufohelp
0x20D9958A, song
0xB55D87CD, nextsong
0x2AC8EFE1, musicsystem
0x3577C5D6, currentplaytype
0x615E3C8F, currentstate
0xCCB8D056, music
0x76113E2C, sndmusicsystem_stopandflush
0x77A7FE7D, waittime
0xE20459B1, playbacktime
0xC1CDEDFB, setmusicstate
0x9B7FDA5E, spawn
0x799102F2, soundgetplaybacktime
0x5B7E3888, waittill_any
0x39419AE5, stopsounds
0x356A1C2A, stopsound
0x51E6A548, einflictor
0x3A212FD7, eattacker
0xF9A179ED, idamage
0xBF827987, idflags
0xBA36487D, smeansofdeath
0x88482219, vpoint
0xE8BB43EE, vdir
0xA77AD8EB, shitloc
0xA5CF2304, psoffsettime
0xD76D4D07, is_explosive_damage
0x3A7EA645, fakedamagefrom
0x37246A45, player_damage_override
0xAC8E5D72, zm
0x320C3C5D, 0bogsarraykeysc1acc961-c2c1-4505-9cf7-48c921860d9a
0x58B5031E, previousalpha
0xD6129165, menuindicatoralpha
0xDC4F61DB, 0bogsarraykeys76352fca-789a-4cb4-a711-1330e4dba67e
0x12859925, 0bogsarraykeysbf8f8d71-61c3-4595-8f14-4ee6fb43437f
0x10D747A2, boolpreviousalpha
0x5C4B2CF7, 0bogsarraykeysb3af1561-fb07-41e9-94bc-117b661d93f5
0x1505184B, intstring
0x2337EB97, sliderpreviousalpha
0x5E56A08B, 0bogsarraykeysb37f5386-c892-4682-a6dd-fd9e1099a896
0xA4B8304E, name2
0xF7E51755, intslidermin
0x50BFD26D, intsliderstart
0xF8F608DB, temp
0x20557D9C, fnc
0x982BFCF2, size
0x95D0212B, min
0x1F040F67, intincrement
0x2BBCA98F, values
0xD6DF1F20, strtok
0x35C84E32, val
0xADD0A810, curs
0x75305A63, arg6
0xF86554D7, gumname
0x5E4FE4F9, tablelookupistring
0x7D3CAC7D, exitlevel
0x764C8221, map_restart
0x154F5599, variable
0x40027FC3, 0bogsarraykeys629f15f4-cff8-485e-ac71-26706ebdc618
0x9D05ECA1, 0bogsindexaabd03b7-33bb-4388-b252-f6dde26eff76
0x8057A389, 0bogsarraykeys1deaf8c9-c969-42f8-8471-9e0f143b3b29
0xAD08AE73, 0bogsindexea94c26e-6fb4-4a16-8c61-e86bb7386ae3
0xFA42A0E2, str
0xEB6B5D23, replacement
0xB3C5B671, strings
0x5FD83932, toupper
0x57B2BE45, tolower
0xF45850EC, getsubstr
0xD3FA0A6A, number
0x73A779A4, 0bogsarraykeys9beee21d-89b2-456f-a206-8a37c4476d68
0xA0C74C74, 0bogsindex1867d9d2-bb6a-464f-9473-f45d621a6e29
0xD66BA65A, sepmenu
0xB952F48F, tokens
0x972B7211, 0bogsarraykeysf922d9ae-a546-4f92-b7a5-2e1d8e901647
0x98A34DB3, 0bogsindexb9c2a09b-da65-4bec-8e32-233f4d55eb8f
0xC5B0E858, item
0x2E7CC8C6, 0bogsarraykeysa1980380-94be-4ec2-a70d-8822fa4161ac
0x26962CA1, 0bogsarraykeys03a804cf-e7b3-407b-bf16-c39609f55f51
0x5E653022, 0bogsarraykeysd6aa55e8-e5da-4a66-a952-8f594020f4e2
0x1FEC9C78, playeraccess
0xD010FBB9, exclude
0xDE878E17, ents
0xC7E339D1, islinkedto
0x6DF9264, model
0xE48F905E, setmodel
0xE1DC201C, bullettrace
0x8FF9D066, getweaponmuzzlepoint
0x680650D9, strisint
0xB495A958, strisfloat
0x3C61BFC2, result
0x21A2866C, pairs
0x52475AB9, midpoint
0x7D5301E4, k
0xA3557C4D, j
0x813FC428, msg
0xF9D4D24E, force
0x3EA9D30D, hadmenu
0xFDFE09E7, welcomeshowed
0x6E37F7F0, tap_melee_button
0x58ACAF49, 0bogsarraykeys02c63ae5-7b0e-438a-b7db-6b1bc561456e
0x82E39388, 0bogsindex3c83865b-09fa-4960-9b0b-ef354ff0713b
